#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.30303      0.30303      1            0.363636     0.0540482   
0.30303      0.30303      1            0.373737     0.0750456   
0.30303      0.30303      1            0.383838     0.114236    
0.30303      0.30303      1            0.393939     0.144914    
0.30303      0.30303      1            0.40404      0.178971    
0.30303      0.30303      1            0.414141     0.215167    
0.30303      0.30303      1            0.424242     0.24869     
0.30303      0.30303      1            0.434343     0.263164    
0.30303      0.30303      1            0.444444     0.289755    
0.30303      0.30303      1            0.454545     0.310859    
0.30303      0.30303      1            0.464646     0.303134    
0.30303      0.30303      1            0.474747     0.289743    
0.30303      0.30303      1            0.484848     0.267047    
0.30303      0.30303      1            0.494949     0.242734    
0.30303      0.30303      1            0.505051     0.215781    
0.30303      0.30303      1            0.515152     0.18072     
0.30303      0.30303      1            0.525253     0.150853    
0.30303      0.30303      1            0.535354     0.131472    
0.30303      0.30303      1            0.545455     0.111606    
0.30303      0.30303      1            0.555556     0.0754876   
0.30303      0.30303      1            0.565657     0.0657558   
0.30303      0.30303      1            0.575758     0.0513791   
0.30303      0.30303      1            0.585859     0.0408528   
0.30303      0.30303      1            0.59596      0.0261496   
0.30303      0.30303      1            0.606061     0.0195241   
0.30303      0.30303      1            0.616162     0.0169071   
0.30303      0.30303      1            0.626263     0.0127221   
0.30303      0.30303      1            0.636364     0.00667479  
0.30303      0.30303      1            0.646465     0.00439993  
0.30303      0.30303      1            0.656566     0.0036968   
0.30303      0.30303      1            0.666667     0.00136017  
0.30303      0.30303      1            0.676768     0.000289272 
0.30303      0.30303      1            0.686869     0.00100512  
0.30303      0.30303      1            0.69697      0.000214243 
0.30303      0.30303      1            0.707071     0.000822042 
0.30303      0.30303      1            0.717172     0.00057876  
0.30303      0.30303      1            0.727273     1.53759e-07 
0.30303      0.30303      1            0.737374     3.26814e-06 
0.30303      0.30303      1            0.747475     5.44677e-10 
0.30303      0.30303      1            0.757576     1.08985e-08 
0.30303      0.30303      1            0.767677     1.78614e-07 
0.30303      0.30303      1            0.777778     1.77347e-17 
0.30303      0.30303      1            0.787879     8.88179e-08 
0.30303      0.30303      1            0.79798      2.1096e-15  
0.30303      0.30303      1            0.808081     6.56303e-11 
0.30303      0.30303      1            0.818182     1.24169e-17 
0.30303      0.30303      1            0.828283     2.09083e-19 
0.30303      0.30303      1            0.838384     7.77909e-15 
0.30303      0.30303      1            0.848485     1.44968e-20 
0.30303      0.30303      1            0.858586     1.00757e-32 
