#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
-0.489899    -0.489899    1            0.484848     0.20147     
-0.489899    -0.489899    1            0.5          0.330408    
-0.489899    -0.489899    1            0.515152     0.416695    
-0.489899    -0.489899    1            0.530303     0.49552     
-0.489899    -0.489899    1            0.545455     0.45356     
-0.489899    -0.489899    1            0.560606     0.325047    
-0.489899    -0.489899    1            0.575758     0.192228    
-0.489899    -0.489899    1            0.590909     0.0773079   
-0.489899    -0.489899    1            0.606061     0.0239335   
-0.489899    -0.489899    1            0.621212     0.00607887  
-0.489899    -0.489899    1            0.636364     0.00403979  
-0.489899    -0.489899    1            0.651515     1.17008e-10 
-0.489899    -0.489899    1            0.666667     7.16804e-10 
-0.489899    -0.489899    1            0.681818     1.68754e-24 
-0.489899    -0.489899    1            0.69697      1.56436e-13 
-0.489899    -0.489899    1            0.712121     6.88058e-39 
-0.489899    -0.489899    1            0.727273     4.9394e-48  
-0.489899    -0.489899    1            0.742424     3.48102e-81 
-0.489899    -0.489899    1            0.757576     6.54154e-99 
-0.489899    -0.489899    1            0.772727     2.24882e-145
-0.489899    -0.489899    1            0.787879     2.39e-174   
-0.489899    -0.489899    1            0.80303      1.02113e-215
-0.489899    -0.489899    1            0.818182     3.8953e-224 
-0.489899    -0.489899    1            0.833333     2.4572e-127 
-0.489899    -0.489899    1            0.848485     5.72425e-312
-0.489899    -0.489899    1            0.863636     9.60431e-318
-0.489899    -0.489899    1            0.878788     9.85167e-321
-0.489899    -0.489899    1            0.893939     0           
-0.489899    -0.489899    1            0.909091     0           
-0.489899    -0.489899    1            0.924242     0           
-0.489899    -0.489899    1            0.939394     0           
-0.489899    -0.489899    1            0.954545     0           
-0.489899    -0.489899    1            0.969697     0           
-0.489899    -0.489899    1            0.984848     0           
-0.489899    -0.489899    1            1            0           
-0.489899    -0.489899    1            1.01515      0           
-0.489899    -0.489899    1            1.0303       0           
-0.489899    -0.489899    1            1.04545      0           
-0.489899    -0.489899    1            1.06061      0           
-0.489899    -0.489899    1            1.07576      0           
-0.489899    -0.489899    1            1.09091      0           
-0.489899    -0.489899    1            1.10606      0           
-0.489899    -0.489899    1            1.12121      0           
-0.489899    -0.489899    1            1.13636      0           
-0.489899    -0.489899    1            1.15152      0           
-0.489899    -0.489899    1            1.16667      0           
-0.489899    -0.489899    1            1.18182      0           
-0.489899    -0.489899    1            1.19697      0           
-0.489899    -0.489899    1            1.21212      0           
-0.489899    -0.489899    1            1.22727      0           
-0.489899    -0.489899    1            1.24242      0           
-0.489899    -0.489899    1            1.25758      0           
-0.489899    -0.489899    1            1.27273      0           
-0.489899    -0.489899    1            1.28788      0           
-0.489899    -0.489899    1            1.30303      0           
-0.489899    -0.489899    1            1.31818      0           
-0.489899    -0.489899    1            1.33333      0           
-0.489899    -0.489899    1            1.34848      0           
-0.489899    -0.489899    1            1.36364      0           
-0.489899    -0.489899    1            1.37879      0           
-0.489899    -0.489899    1            1.39394      0           
-0.489899    -0.489899    1            1.40909      0           
-0.489899    -0.489899    1            1.42424      0           
-0.489899    -0.489899    1            1.43939      0           
-0.489899    -0.489899    1            1.45455      0           
-0.489899    -0.489899    1            1.4697       0           
-0.489899    -0.489899    1            1.48485      0           
-0.479798    -0.479798    1            0            0.542854    
-0.479798    -0.479798    1            0.0151515    0.465334    
-0.479798    -0.479798    1            0.030303     0.376532    
-0.479798    -0.479798    1            0.0454545    0.230937    
-0.479798    -0.479798    1            0.0606061    0.115827    
-0.479798    -0.479798    1            0.0757576    0.0548117   
-0.479798    -0.479798    1            0.0909091    0.0192456   
-0.479798    -0.479798    1            0.106061     0.00663885  
-0.479798    -0.479798    1            0.121212     0.00217643  
-0.479798    -0.479798    1            0.136364     0.000276522 
-0.479798    -0.479798    1            0.151515     2.36148e-05 
-0.479798    -0.479798    1            0.166667     1.36373e-06 
-0.479798    -0.479798    1            0.181818     1.01606e-07 
-0.479798    -0.479798    1            0.19697      3.43144e-10 
-0.479798    -0.479798    1            0.212121     2.85759e-09 
-0.479798    -0.479798    1            0.227273     2.80632e-14 
-0.479798    -0.479798    1            0.242424     1.39734e-16 
-0.479798    -0.479798    1            0.257576     1.43261e-18 
-0.479798    -0.479798    1            0.272727     1.85542e-21 
-0.479798    -0.479798    1            0.287879     4.74981e-21 
-0.479798    -0.479798    1            0.30303      1.75867e-28 
-0.479798    -0.479798    1            0.318182     1.67747e-28 
-0.479798    -0.479798    1            0.333333     6.78787e-26 
-0.479798    -0.479798    1            0.348485     5.87453e-31 
-0.479798    -0.479798    1            0.363636     6.16758e-20 
-0.479798    -0.479798    1            0.378788     1.46015e-08 
-0.479798    -0.479798    1            0.393939     0.00231738  
-0.479798    -0.479798    1            0.409091     0.000918973 
-0.479798    -0.479798    1            0.424242     0.0101771   
-0.479798    -0.479798    1            0.439394     0.026285    
-0.479798    -0.479798    1            0.454545     0.0887686   
-0.479798    -0.479798    1            0.469697     0.106285    
-0.479798    -0.479798    1            0.484848     0.179085    
-0.479798    -0.479798    1            0.5          0.35318     
-0.479798    -0.479798    1            0.515152     0.421943    
-0.479798    -0.479798    1            0.530303     0.519983    
-0.479798    -0.479798    1            0.545455     0.425402    
-0.479798    -0.479798    1            0.560606     0.313673    
-0.479798    -0.479798    1            0.575758     0.202823    
-0.479798    -0.479798    1            0.590909     0.0816341   
-0.479798    -0.479798    1            0.606061     0.0340554   
-0.479798    -0.479798    1            0.621212     0.0147102   
-0.479798    -0.479798    1            0.636364     3.82337e-05 
-0.479798    -0.479798    1            0.651515     3.46429e-06 
-0.479798    -0.479798    1            0.666667     5.39489e-10 
-0.479798    -0.479798    1            0.681818     1.87019e-29 
-0.479798    -0.479798    1            0.69697      1.50612e-27 
-0.479798    -0.479798    1            0.712121     2.54137e-30 
-0.479798    -0.479798    1            0.727273     1.14557e-62 
-0.479798    -0.479798    1            0.742424     1.54178e-76 
-0.479798    -0.479798    1            0.757576     4.63736e-121
-0.479798    -0.479798    1            0.772727     6.07472e-124
-0.479798    -0.479798    1            0.787879     1.07864e-160
-0.479798    -0.479798    1            0.80303      7.49253e-159
-0.479798    -0.479798    1            0.818182     1.95902e-185
-0.479798    -0.479798    1            0.833333     7.52685e-276
-0.479798    -0.479798    1            0.848485     3.56457e-287
-0.479798    -0.479798    1            0.863636     3.30853e-310
-0.479798    -0.479798    1            0.878788     0           
-0.479798    -0.479798    1            0.893939     0           
-0.479798    -0.479798    1            0.909091     0           
-0.479798    -0.479798    1            0.924242     0           
-0.479798    -0.479798    1            0.939394     0           
-0.479798    -0.479798    1            0.954545     0           
-0.479798    -0.479798    1            0.969697     0           
-0.479798    -0.479798    1            0.984848     0           
-0.479798    -0.479798    1            1            0           
-0.479798    -0.479798    1            1.01515      0           
-0.479798    -0.479798    1            1.0303       0           
-0.479798    -0.479798    1            1.04545      0           
-0.479798    -0.479798    1            1.06061      0           
-0.479798    -0.479798    1            1.07576      0           
-0.479798    -0.479798    1            1.09091      0           
-0.479798    -0.479798    1            1.10606      0           
-0.479798    -0.479798    1            1.12121      0           
-0.479798    -0.479798    1            1.13636      0           
-0.479798    -0.479798    1            1.15152      0           
-0.479798    -0.479798    1            1.16667      0           
-0.479798    -0.479798    1            1.18182      0           
-0.479798    -0.479798    1            1.19697      0           
-0.479798    -0.479798    1            1.21212      0           
-0.479798    -0.479798    1            1.22727      0           
-0.479798    -0.479798    1            1.24242      0           
-0.479798    -0.479798    1            1.25758      0           
-0.479798    -0.479798    1            1.27273      0           
-0.479798    -0.479798    1            1.28788      0           
-0.479798    -0.479798    1            1.30303      0           
-0.479798    -0.479798    1            1.31818      0           
-0.479798    -0.479798    1            1.33333      0           
-0.479798    -0.479798    1            1.34848      0           
-0.479798    -0.479798    1            1.36364      0           
-0.479798    -0.479798    1            1.37879      0           
-0.479798    -0.479798    1            1.39394      0           
-0.479798    -0.479798    1            1.40909      0           
-0.479798    -0.479798    1            1.42424      0           
-0.479798    -0.479798    1            1.43939      0           
-0.479798    -0.479798    1            1.45455      0           
-0.479798    -0.479798    1            1.4697       0           
-0.479798    -0.479798    1            1.48485      0           
-0.469697    -0.469697    1            0            0.530764    
-0.469697    -0.469697    1            0.0151515    0.480909    
-0.469697    -0.469697    1            0.030303     0.368426    
-0.469697    -0.469697    1            0.0454545    0.236606    
-0.469697    -0.469697    1            0.0606061    0.116387    
-0.469697    -0.469697    1            0.0757576    0.0576728   
-0.469697    -0.469697    1            0.0909091    0.0176848   
-0.469697    -0.469697    1            0.106061     0.00589345  
-0.469697    -0.469697    1            0.121212     0.00202095  
-0.469697    -0.469697    1            0.136364     0.000153017 
-0.469697    -0.469697    1            0.151515     2.91342e-05 
-0.469697    -0.469697    1            0.166667     4.51591e-06 
