0.30303      0.30303      1            0.535354     0.131472          nan          None          nan
0.30303      0.30303      1            0.545455     0.111606          nan          None          nan
0.30303      0.30303      1            0.555556     0.0754876          nan          None          nan
0.30303      0.30303      1            0.565657     0.0657558          nan          None          nan
0.30303      0.30303      1            0.575758     0.0513791          nan          None          nan
0.30303      0.30303      1            0.585859     0.0408528          nan          None          nan
0.30303      0.30303      1            0.59596      0.0261496          nan          None          nan
0.30303      0.30303      1            0.606061     0.0195241          nan          None          nan
0.30303      0.30303      1            0.616162     0.0169071          nan          None          nan
0.30303      0.30303      1            0.626263     0.0127221          nan          None          nan
0.30303      0.30303      1            0.636364     0.00667479          nan          None          nan
0.30303      0.30303      1            0.646465     0.00439993          nan          None          nan
0.30303      0.30303      1            0.656566     0.0036968          nan          None          nan
0.30303      0.30303      1            0.666667     0.00136017          nan          None          nan
0.30303      0.30303      1            0.676768     0.000289272          nan          None          nan
0.30303      0.30303      1            0.686869     0.00100512          nan          None          nan
0.30303      0.30303      1            0.69697      0.000214243          nan          None          nan
0.30303      0.30303      1            0.707071     0.000822042          nan          None          nan
0.30303      0.30303      1            0.717172     0.00057876          nan          None          nan
0.30303      0.30303      1            0.727273     1.53759e-07          nan          None          nan
0.30303      0.30303      1            0.737374     3.26814e-06          nan          None          nan
0.30303      0.30303      1            0.747475     5.44677e-10          nan          None          nan
0.30303      0.30303      1            0.757576     1.08985e-08          nan          None          nan
0.30303      0.30303      1            0.767677     1.78614e-07          nan          None          nan
0.30303      0.30303      1            0.777778     1.77347e-17          nan          None          nan
0.30303      0.30303      1            0.787879     8.88179e-08          nan          None          nan
0.30303      0.30303      1            0.79798      2.1096e-15          nan          None          nan
0.30303      0.30303      1            0.808081     6.56303e-11          nan          None          nan
0.30303      0.30303      1            0.818182     1.24169e-17          nan          None          nan
0.30303      0.30303      1            0.828283     2.09083e-19          nan          None          nan
0.30303      0.30303      1            0.838384     7.77909e-15          nan          None          nan
0.30303      0.30303      1            0.848485     1.44968e-20          nan          None          nan
0.30303      0.30303      1            0.858586     1.00757e-32          nan          None          nan
0.30303      0.30303      1            0.868687     8.56648e-23          nan          None          nan
0.30303      0.30303      1            0.878788     5.45292e-36          nan          None          nan
0.30303      0.30303      1            0.888889     7.56927e-31          nan          None          nan
0.30303      0.30303      1            0.89899      3.30564e-26          nan          None          nan
0.30303      0.30303      1            0.909091     2.82996e-29          nan          None          nan
0.30303      0.30303      1            0.919192     1.70266e-39          nan          None          nan
0.30303      0.30303      1            0.929293     3.71684e-44          nan          None          nan
0.30303      0.30303      1            0.939394     1.19166e-45          nan          None          nan
0.30303      0.30303      1            0.949495     3.91659e-64          nan          None          nan
0.30303      0.30303      1            0.959596     4.43023e-59          nan          None          nan
0.30303      0.30303      1            0.969697     3.6841e-63          nan          None          nan
0.30303      0.30303      1            0.979798     4.79699e-60          nan          None          nan
