T,Cp,Field
K,,T
1.31473,8534.4263,0.49999
1.32882,7901.2584,0.49999
1.34292,7465.7674,0.49999
1.35701,7127.3801,0.49999
1.37111,6857.3731,0.49999
1.3852,6614.8454,0.49999
1.3993,6405.2523,0.49999
1.41339,6215.9574,0.49999
1.42749,6048.3836,0.49999
1.44158,5870.3701,0.49999
1.45568,5719.8907,0.49999
1.46977,5578.4048,0.49999
1.48387,5450.0013,0.49999
1.49796,5329.3294,0.49999
1.51206,5217.2248,0.49999
1.52615,5101.5141,0.49999
1.54025,4995.7614,0.49999
1.55434,4892.7215,0.49999
1.56843,4794.0059,0.49999
0.64772,4733.8968,0.59999
0.66206,4898.9362,0.59999
0.67639,5077.7723,0.59999
0.69073,5244.8192,0.59999
0.70507,5410.4994,0.59999
0.71941,5579.6977,0.59999
0.73375,5755.3886,0.59999
0.74809,5947.5971,0.59999
0.76242,6151.2818,0.59999
0.77676,6368.7475,0.59999
0.7911,6600.7908,0.59999
0.80544,6825.0657,0.59999
0.81978,7053.0553,0.59999
0.83412,7279.0029,0.59999
0.84845,7490.8499,0.59999
0.86279,7701.4008,0.59999
0.87713,7909.3603,0.59999
0.89147,8143.4248,0.59999
0.90581,8436.4647,0.59999
0.92014,8817.3418,0.59999
0.93448,9281.5727,0.59999
0.94882,9875.5554,0.59999
0.96316,10614.251,0.59999
0.9775,11501.931,0.59999
0.99184,12523.271,0.59999
1.00617,13996.497,0.59999
1.02051,15196.504,0.59999
1.03485,14245.075,0.59999
1.04919,12550.216,0.59999
1.06353,11622.951,0.59999
1.07787,11362.218,0.59999
1.0922,11145.405,0.59999
1.10654,11104.639,0.59999
1.12088,11035.699,0.59999
1.13522,10931.897,0.59999
1.14956,10960.404,0.59999
1.1639,10934.347,0.59999
1.17823,10950.231,0.59999
1.19257,11003.081,0.59999
1.20691,11034.487,0.59999
1.22125,11176.45,0.59999
1.23559,11331.282,0.59999
1.24993,11571.458,0.59999
1.26426,11852.99,0.59999
1.2786,12413.279,0.59999
1.29294,11479.576,0.59999
1.30728,9557.166,0.59999
1.32162,8346.4079,0.59999
1.33596,7706.6716,0.59999
1.35029,7245.0372,0.59999
1.36463,6882.5965,0.59999
1.37897,6602.8314,0.59999
1.39331,6324.4657,0.59999
1.40765,6110.2639,0.59999
1.42199,5921.1134,0.59999
1.43632,5727.3852,0.59999
1.45066,5599.2205,0.59999
1.465,5434.3921,0.59999
1.47934,5305.8269,0.59999
1.49368,5148.6702,0.59999
1.50802,5036.5081,0.59999
1.52235,4907.4605,0.59999
1.53669,4803.0241,0.59999
1.55103,4692.2553,0.59999
1.56537,4583.3554,0.59999
1.57971,4497.1021,0.59999
0.64258,4729.5491,0.69999
0.6572,4902.7246,0.69999
0.67182,5086.6959,0.69999
0.68643,5262.6589,0.69999
0.70105,5430.4349,0.69999
0.71567,5605.9022,0.69999
0.73028,5783.3878,0.69999
0.7449,5977.3662,0.69999
0.75952,6187.964,0.69999
0.77414,6418.366,0.69999
0.78875,6662.6197,0.69999
0.80337,6901.1537,0.69999
0.81799,7147.6228,0.69999
0.8326,7387.4951,0.69999
0.84722,7616.8226,0.69999
0.86184,7829.4095,0.69999
0.87646,8042.7932,0.69999
0.89107,8281.9836,0.69999
0.90569,8617.0475,0.69999
0.92031,9031.847,0.69999
0.93492,9563.3365,0.69999
0.94954,10237.314,0.69999
0.96416,11246.219,0.69999
0.97878,13030.478,0.69999
0.99339,13544.487,0.69999
1.00801,13557.787,0.69999
1.02263,12176.258,0.69999
1.03724,11400.186,0.69999
1.05186,11090.296,0.69999
1.06648,10832.015,0.69999
1.0811,10738.302,0.69999
1.09571,10704.646,0.69999
1.11033,10684.929,0.69999
