Temperature (K)	HCTotal (uJ/K)	HCSample (µJ/K)	Field (Oe)
0,97961693	31,218898	31,179191	1999,775
1,0030198	33,298368	33,258492	1999,775
1,0247021	35,582058	35,541973	1999,775
1,0447848	38,155723	38,1154	1999,775
1,0633105	41,081399	41,040818	1999,775
1,080244	44,816546	44,775695	1999,775
1,0954207	49,749332	49,708213	1999,775
1,1092849	54,990066	54,948681	1999,775
1,1226839	57,101515	57,059852	1999,775
1,135894	55,580972	55,539016	1999,775
1,1492811	51,360095	51,317822	1999,775
1,1631382	47,130272	47,087651	1999,775
1,1778474	44,669595	44,626582	1999,775
1,1932482	43,985619	43,942169	1999,775
1,2086473	43,83064	43,786727	1999,775
1,224008	44,031269	43,986868	1999,775
1,2390221	44,621256	44,576353	1999,775
1,2536686	45,678942	45,633525	1999,775
1,2682564	45,885483	45,839531	1999,775
1,2834941	43,461714	43,415177	1999,775
1,2996395	39,5824	39,535216	1999,775
1,3168449	35,291284	35,243378	1999,775
1,3354104	31,765654	31,716931	1999,775
1,3555587	29,385597	29,335944	1999,775
1,3769007	28,07618	28,025493	1999,775
1,3989106	26,967997	26,916189	1999,775
1,4215706	25,930331	25,877311	1999,775
1,4446412	25,067048	25,012736	1999,775
1,4680504	24,322555	24,266869	1999,775
1,491783	23,512207	23,455064	1999,775
1,515847	22,872284	22,813599	1999,775
1,5400693	22,336971	22,276667	1999,775
1,5642225	21,862518	21,800531	1999,775
1,5886262	21,322276	21,258522	1999,775
1,61315	20,818344	20,752745	1999,775
1,6374968	20,372653	20,305155	1999,775
1,6617916	19,940495	19,871035	1999,775
1,6860771	19,510037	19,438549	1999,775
1,7103113	19,245644	19,172066	1999,775
1,7343629	18,827997	18,75228	1999,775
1,7580718	18,467268	18,389377	1999,775
1,7816764	18,170818	18,090701	1999,775
1,8050196	17,911652	17,829272	1999,775
1,8281867	17,525202	17,440517	1999,775
1,8512104	17,145353	17,058318	1999,775
1,8735664	16,913254	16,82388	1999,775
1,8956603	16,7747	16,682961	1999,775
1,9176153	16,461888	16,367746	1999,775
1,9390824	16,318271	16,221726	1999,775
1,9600314	16,064125	15,965189	1999,775
1,9805462	15,655844	15,554518	1999,775
2,0010739	15,330333	15,226571	1999,775
2,0208617	15,357994	15,251839	1999,775
2,040101	15,102327	14,993806	1999,775
2,0590357	14,949584	14,838694	1999,775
2,0772957	14,962777	14,849567	1999,775
2,0951352	14,781751	14,666238	1999,775
2,1121068	14,560058	14,442324	1999,775
2,1291732	14,356161	14,236161	1999,775
2,145421	14,214615	14,092429	1999,775
2,1612167	13,957201	13,832864	1999,775
2,1764866	14,046674	13,920231	1999,775
2,1914953	13,639753	13,511216	1999,775
2,2062016	13,479623	13,349011	1999,775
2,2201212	13,166428	13,033831	1999,775
2,2339873	12,84685	12,712255	1999,775
2,2469104	12,93813	12,801655	1999,775
2,2599035	12,992689	12,854306	1999,775
2,2720237	12,81597	12,67579	1999,775
2,2837008	12,665505	12,52358	1999,775
