QH, QL, CNTS
0.3298, 0.2003, 5815
0.3349, 0.2003, 6597
0.3399, 0.2003, 5761
0.3448, 0.2002, 4464
0.3498, 0.2001, 2790
0.3548, 0.2002, 1448
0.3598, 0.2001, 729
0.3649, 0.2003, 474
0.3699, 0.2003, 370
0.3748, 0.2002, 400
0.3799, 0.2003, 389
0.3848, 0.2002, 400
0.3899, 0.2003, 407
0.3949, 0.2004, 386
0.3999, 0.2002, 404
0.2548, 0.2201, 433
0.2598, 0.2202, 437
0.2649, 0.2202, 426
0.2699, 0.2201, 432
0.2749, 0.2202, 421
0.2799, 0.2202, 414
0.2848, 0.2202, 419
0.2899, 0.2203, 401
0.2948, 0.2202, 446
0.2999, 0.2202, 425
0.3049, 0.2202, 469
0.3099, 0.2203, 526
0.3148, 0.2202, 721
0.3199, 0.2203, 1073
0.3249, 0.2203, 1519
0.3299, 0.2202, 2004
0.3348, 0.2202, 2250
0.3399, 0.2203, 2017
0.3448, 0.2202, 1545
0.3498, 0.2202, 932
0.3549, 0.2202, 573
0.3599, 0.2202, 465
0.3649, 0.2202, 419
0.3699, 0.2202, 377
0.3748, 0.2202, 376
0.3798, 0.2201, 454
0.3849, 0.2202, 341
0.3898, 0.2202, 365
0.3949, 0.2203, 392
0.3999, 0.2203, 382
0.2548, 0.2401, 423
0.2599, 0.2401, 429
0.2648, 0.2401, 421
0.2699, 0.2402, 421
0.2748, 0.2401, 379
0.2799, 0.24, 413
0.2848, 0.2401, 412
0.2898, 0.24, 449
0.2949, 0.2403, 410
0.2999, 0.2402, 411
0.3048, 0.2401, 459
0.3099, 0.2402, 865
0.3149, 0.2403, 1632
0.3198, 0.2401, 2374
0.3248, 0.2402, 2875
0.3298, 0.2401, 2737
0.3348, 0.2399, 2245
0.3399, 0.2403, 1536
0.3449, 0.2401, 982
0.3498, 0.2401, 784
0.3549, 0.2401, 582
0.3599, 0.2402, 411
0.3649, 0.2403, 373
0.3698, 0.2401, 369
0.3748, 0.2401, 370
0.3799, 0.2402, 400
0.3849, 0.2403, 394
0.3898, 0.2403, 404
0.3949, 0.2401, 359
0.3998, 0.2403, 400
0.2548, 0.2601, 412
0.2598, 0.2601, 450
0.2648, 0.2601, 425
0.2698, 0.2601, 382
0.2749, 0.2602, 414
0.2798, 0.2602, 410
0.2849, 0.2602, 412
0.2899, 0.2603, 380
0.2948, 0.2602, 422
0.2998, 0.2602, 443
0.3049, 0.2602, 600
0.3099, 0.2602, 827
0.3148, 0.2601, 913
0.3199, 0.2602, 1107
0.3248, 0.2602, 1626
0.3299, 0.2601, 2438
0.3349, 0.2602, 2654
0.3399, 0.2602, 2579
0.3448, 0.2602, 1868
0.3498, 0.26, 1025
0.3549, 0.2603, 551
0.3598, 0.2602, 422
0.3649, 0.2603, 392
0.3698, 0.2601, 401
0.3748, 0.2602, 391
0.3798, 0.2603, 417
0.3848, 0.2602, 389
0.3898, 0.2602, 400
0.3949, 0.2603, 369
0.3999, 0.2603, 390
0.2548, 0.2802, 414
0.2598, 0.2801, 396
0.2648, 0.2801, 433
0.2699, 0.2802, 362
0.2749, 0.2802, 407
0.2799, 0.2802, 409
0.2848, 0.2801, 439
0.2898, 0.2802, 397
0.2948, 0.2802, 434
0.2999, 0.2802, 389
0.3048, 0.2801, 431
0.3098, 0.2801, 510
0.3149, 0.2802, 744
0.3199, 0.2803, 929
0.3248, 0.2802, 1107
0.3299, 0.2801, 1106
0.3348, 0.2803, 858
0.3399, 0.2802, 659
0.3449, 0.2803, 547
0.3499, 0.2803, 484
0.3549, 0.2802, 420
0.3599, 0.2802, 410
0.3648, 0.2802, 389
0.3699, 0.2803, 360
0.3748, 0.2801, 404
0.3799, 0.28, 374
0.3849, 0.2803, 378
0.3899, 0.2802, 388
0.3949, 0.28, 391
0.3999, 0.2803, 399
0.2549, 0.3003, 428
0.2599, 0.3002, 456
0.2649, 0.3003, 412
0.2699, 0.3001, 412
0.2749, 0.3002, 417
0.2799, 0.3, 447
0.2849, 0.3001, 419
0.2898, 0.3001, 417
0.2948, 0.3001, 411
0.2999, 0.3003, 414
0.3049, 0.3001, 446
0.3099, 0.3003, 465
0.3148, 0.3001, 476
0.3198, 0.3002, 533
0.3248, 0.3001, 560
0.3298, 0.3002, 554
0.3349, 0.3003, 571
0.3398, 0.3001, 579
0.3449, 0.3003, 519
0.3498, 0.3001, 457
0.3548, 0.3002, 408
0.3598, 0.3002, 413
0.3648, 0.3002, 408
0.3699, 0.3001, 379
0.3749, 0.3002, 402
0.3798, 0.3002, 403
0.3849, 0.3002, 388
0.3899, 0.3001, 405
0.3948, 0.3001, 399
0.3998, 0.3002, 413
0.2549, 0.3203, 405
0.2598, 0.3201, 431
0.2649, 0.3201, 412
0.2699, 0.3202, 420
0.2749, 0.32, 380
0.2798, 0.3202, 417
0.2849, 0.3202, 422
0.2898, 0.32, 377
0.2949, 0.3201, 428
0.2998, 0.3202, 464
0.3048, 0.3202, 474
0.3098, 0.3201, 415
0.3149, 0.3203, 446
0.3198, 0.3201, 448
0.3248, 0.3202, 470
0.3299, 0.3202, 455
0.3349, 0.3203, 437
0.3399, 0.32, 463
0.3448, 0.3201, 400
0.3499, 0.3203, 387
0.3548, 0.3202, 404
0.3599, 0.3203, 409
0.3649, 0.3202, 408
0.3699, 0.3203, 379
0.3749, 0.3202, 386
0.3799, 0.3202, 385
0.3848, 0.3201, 401
0.3899, 0.3202, 382
0.3948, 0.3201, 375
0.3998, 0.3203, 394
0.2549, 0.3402, 419
0.2599, 0.3402, 416
0.2649, 0.3402, 368
0.2698, 0.34, 401
0.2748, 0.3402, 410
0.2799, 0.3402, 374
0.2849, 0.3402, 422
0.2899, 0.34, 393
0.2948, 0.3401, 401
0.2999, 0.3401, 411
0.3049, 0.3402, 443
0.3099, 0.3402, 491
0.3149, 0.3403, 465
0.3199, 0.3402, 463
0.3248, 0.3402, 422
0.3299, 0.3402, 456
0.3348, 0.3401, 423
0.3398, 0.3401, 423
0.3448, 0.3401, 407
0.3498, 0.3401, 397
0.3549, 0.3402, 422
0.3598, 0.3402, 449
0.3649, 0.3403, 397
0.3698, 0.3402, 348
0.3749, 0.3401, 388
0.3799, 0.3402, 370
0.3849, 0.3399, 364
0.3898, 0.3401, 390
0.3949, 0.3402, 385
0.3998, 0.3402, 369
