#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.203        0.203        1            0.41         1.13445e-15 
0.203        0.203        1            0.42         2.53665e-14 
0.203        0.203        1            0.43         3.00856e-12 
0.203        0.203        1            0.44         4.46814e-12 
0.203        0.203        1            0.45         2.7994e-10  
0.203        0.203        1            0.46         5.98072e-10 
0.203        0.203        1            0.47         3.16009e-09 
0.203        0.203        1            0.48         1.12165e-08 
0.203        0.203        1            0.49         1.4723e-07  
0.203        0.203        1            0.5          2.88114e-07 
0.203        0.203        1            0.51         3.08787e-07 
0.203        0.203        1            0.52         1.25843e-06 
0.203        0.203        1            0.53         2.25914e-06 
0.203        0.203        1            0.54         1.00075e-05 
0.203        0.203        1            0.55         1.7444e-05  
0.203        0.203        1            0.56         3.2742e-05  
0.203        0.203        1            0.57         6.7375e-05  
0.203        0.203        1            0.58         0.000122814 
0.203        0.203        1            0.59         0.000184346 
0.203        0.203        1            0.6          0.000287629 
0.203        0.203        1            0.61         0.000364415 
0.203        0.203        1            0.62         0.0004819   
0.203        0.203        1            0.63         0.000586532 
0.203        0.203        1            0.64         0.000660909 
0.203        0.203        1            0.65         0.000675419 
0.203        0.203        1            0.66         0.000646927 
0.203        0.203        1            0.67         0.000553317 
0.203        0.203        1            0.68         0.000470261 
0.203        0.203        1            0.69         0.000380602 
0.203        0.203        1            0.7          0.000266453 
0.203        0.203        1            0.71         0.000168681 
0.203        0.203        1            0.72         0.000124346 
0.203        0.203        1            0.73         6.8236e-05  
0.203        0.203        1            0.74         4.25103e-05 
0.203        0.203        1            0.75         2.00123e-05 
0.203        0.203        1            0.76         9.27046e-06 
0.203        0.203        1            0.77         3.69347e-06 
0.203        0.203        1            0.78         2.37361e-06 
0.203        0.203        1            0.79         3.95522e-07 
0.203        0.203        1            0.8          3.60226e-07 
0.203        0.203        1            0.81         8.80428e-08 
0.203        0.203        1            0.82         1.69065e-08 
0.203        0.203        1            0.83         9.52283e-09 
0.203        0.203        1            0.84         2.59363e-09 
0.203        0.203        1            0.85         2.67258e-09 
0.203        0.203        1            0.86         6.65869e-09 
0.203        0.203        1            0.87         8.48813e-11 
0.203        0.203        1            0.88         1.1199e-12  
0.203        0.203        1            0.89         2.45912e-14 
0.203        0.203        1            0.9          1.85563e-13 
0.203        0.203        1            0.91         1.0993e-15  
0.203        0.203        1            0.92         1.57142e-19 
0.203        0.203        1            0.93         2.09355e-19 
0.203        0.203        1            0.94         5.58238e-22 
0.203        0.203        1            0.95         2.32348e-21 
0.203        0.203        1            0.96         3.89433e-19 
0.203        0.203        1            0.97         7.1529e-21  
0.203        0.203        1            0.98         4.14699e-27 
0.203        0.203        1            0.99         7.00044e-29 
0.206        0.206        1            0            0.539322    
0.206        0.206        1            0.01         0.507802    
0.206        0.206        1            0.02         0.453158    
0.206        0.206        1            0.03         0.357467    
0.206        0.206        1            0.04         0.270484    
0.206        0.206        1            0.05         0.191137    
0.206        0.206        1            0.06         0.116926    
0.206        0.206        1            0.07         0.0757773   
0.206        0.206        1            0.08         0.03466     
0.206        0.206        1            0.09         0.0281539   
0.206        0.206        1            0.1          0.00798758  
0.206        0.206        1            0.11         0.00338573  
0.206        0.206        1            0.12         0.00161368  
0.206        0.206        1            0.13         0.000266102 
0.206        0.206        1            0.14         9.62772e-05 
0.206        0.206        1            0.15         2.40415e-05 
0.206        0.206        1            0.16         1.432e-05   
0.206        0.206        1            0.17         6.98244e-08 
0.206        0.206        1            0.18         1.84132e-07 
0.206        0.206        1            0.19         4.66002e-08 
0.206        0.206        1            0.2          2.17702e-09 
0.206        0.206        1            0.21         2.06838e-11 
0.206        0.206        1            0.22         1.01432e-12 
0.206        0.206        1            0.23         5.71311e-09 
0.206        0.206        1            0.24         1.6736e-14  
0.206        0.206        1            0.25         3.94628e-17 
0.206        0.206        1            0.26         3.16674e-18 
0.206        0.206        1            0.27         1.05195e-19 
0.206        0.206        1            0.28         1.52105e-22 
0.206        0.206        1            0.29         1.31683e-23 
0.206        0.206        1            0.3          1.19443e-25 
0.206        0.206        1            0.31         6.24771e-27 
0.206        0.206        1            0.32         4.27393e-26 
0.206        0.206        1            0.33         2.36468e-21 
0.206        0.206        1            0.34         2.20992e-23 
0.206        0.206        1            0.35         4.85334e-23 
0.206        0.206        1            0.36         3.80489e-21 
0.206        0.206        1            0.37         2.22889e-17 
0.206        0.206        1            0.38         1.23833e-18 
0.206        0.206        1            0.39         5.92602e-16 
0.206        0.206        1            0.4          2.20372e-14 
0.206        0.206        1            0.41         4.00546e-14 
0.206        0.206        1            0.42         1.78837e-13 
0.206        0.206        1            0.43         1.21047e-11 
0.206        0.206        1            0.44         5.87885e-11 
0.206        0.206        1            0.45         1.03783e-09 
0.206        0.206        1            0.46         2.95047e-09 
0.206        0.206        1            0.47         4.52721e-09 
0.206        0.206        1            0.48         1.2609e-07  
0.206        0.206        1            0.49         1.55657e-07 
0.206        0.206        1            0.5          4.47917e-07 
0.206        0.206        1            0.51         9.75835e-07 
0.206        0.206        1            0.52         3.44894e-06 
0.206        0.206        1            0.53         7.17357e-06 
0.206        0.206        1            0.54         1.72844e-05 
0.206        0.206        1            0.55         3.43677e-05 
0.206        0.206        1            0.56         5.10374e-05 
0.206        0.206        1            0.57         0.000109824 
0.206        0.206        1            0.58         0.000182564 
0.206        0.206        1            0.59         0.000255653 
0.206        0.206        1            0.6          0.000361347 
0.206        0.206        1            0.61         0.000486165 
0.206        0.206        1            0.62         0.00057498  
0.206        0.206        1            0.63         0.00064963  
0.206        0.206        1            0.64         0.000662711 
0.206        0.206        1            0.65         0.000643856 
0.206        0.206        1            0.66         0.000591678 
0.206        0.206        1            0.67         0.000510275 
0.206        0.206        1            0.68         0.000401035 
0.206        0.206        1            0.69         0.000279474 
0.206        0.206        1            0.7          0.000197247 
0.206        0.206        1            0.71         0.000125978 
0.206        0.206        1            0.72         7.42812e-05 
0.206        0.206        1            0.73         3.80377e-05 
0.206        0.206        1            0.74         1.81799e-05 
0.206        0.206        1            0.75         1.12626e-05 
0.206        0.206        1            0.76         4.96136e-06 
0.206        0.206        1            0.77         2.64284e-06 
0.206        0.206        1            0.78         5.72493e-07 
0.206        0.206        1            0.79         3.85066e-07 
0.206        0.206        1            0.8          5.5012e-08  
0.206        0.206        1            0.81         4.00993e-08 
0.206        0.206        1            0.82         1.26823e-08 
0.206        0.206        1            0.83         1.26262e-08 
0.206        0.206        1            0.84         6.56059e-10 
0.206        0.206        1            0.85         2.82054e-11 
0.206        0.206        1            0.86         4.26428e-11 
0.206        0.206        1            0.87         5.47478e-11 
0.206        0.206        1            0.88         4.83521e-14 
0.206        0.206        1            0.89         4.48569e-15 
0.206        0.206        1            0.9          5.72991e-16 
0.206        0.206        1            0.91         5.19307e-14 
0.206        0.206        1            0.92         9.94376e-19 
0.206        0.206        1            0.93         4.50326e-19 
0.206        0.206        1            0.94         8.79821e-19 
0.206        0.206        1            0.95         1.43811e-22 
0.206        0.206        1            0.96         6.43851e-25 
