       722    400000      8944    73.48     0.04     1.50
       699    400000      8983    73.55     0.04     1.50
       686    400000      8974    73.63     0.04     1.50
       749    400000      8983    73.70     0.04     1.50
       740    400000      8961    73.78     0.04     1.50
       709    400000      8976    73.85     0.04     1.50
       735    400000      8954    73.93     0.04     1.50
       779    400000      8963    74.00     0.04     1.50
       684    400000      8967    74.08     0.04     1.50
       693    400000      8958    74.15     0.04     1.50
       748    400000      8961    74.22     0.04     1.50
       689    400000      8978    74.30     0.04     1.50
       781    400000      8973    74.37     0.04     1.50
       757    400000      8974    74.45     0.04     1.50
       774    400000      8960    74.52     0.04     1.50
       780    400000      8975    74.60     0.04     1.50
       816    400000      8963    74.67     0.04     1.50
       864    400000      8955    74.75     0.04     1.50
       793    400000      8967    74.82     0.04     1.50
       747    400000      8975    74.90     0.04     1.50
       746    400000      8969    74.97     0.04     1.50
       723    400000      8947    75.04     0.04     1.50
       745    400000      8983    75.12     0.04     1.50
       727    400000      8942    75.19     0.04     1.50
       706    400000      8992    75.27     0.04     1.50
       698    400000      8961    75.34     0.04     1.50
       703    400000      8976    75.42     0.04     1.50
       724    400000      8945    75.49     0.04     1.50
       696    400000      9006    75.57     0.04     1.50
       719    400000      8976    75.64     0.04     1.50
       717    400000      8985    75.72     0.04     1.50
