        25    100000      2131    90.76     1.20     2.20
        29    100000      2122    90.85     1.20     2.20
        39    100000      2144    90.92     1.20     2.20
        36    100000      2133    91.00     1.20     2.20
        45    100000      2134    91.08     1.20     2.20
        30    100000      2124    91.16     1.20     2.20
        45    100000      2132    91.24     1.20     2.20
        50    100000      2126    91.32     1.20     2.20
        52    100000      2122    91.40     1.20     2.20
        76    100000      2139    91.47     1.20     2.20
        75    100000      2114    91.55     1.20     2.20
        84    100000      2136    91.63     1.20     2.20
       129    100000      2127    91.71     1.20     2.20
        99    100000      2122    91.80     1.20     2.20
       135    100000      2132    91.88     1.20     2.20
       147    100000      2129    91.96     1.20     2.20
       142    100000      2134    92.03     1.20     2.20
       142    100000      2123    92.11     1.20     2.20
       125    100000      2130    92.19     1.20     2.20
       106    100000      2124    92.27     1.20     2.20
        85    100000      2130    92.34     1.20     2.20
        82    100000      2131    92.43     1.20     2.20
        89    100000      2145    92.50     1.20     2.20
        62    100000      2123    92.58     1.20     2.20
        64    100000      2129    92.66     1.20     2.20
        47    100000      2129    92.74     1.20     2.20
        39    100000      2141    92.82     1.20     2.20
        46    100000      2138    92.91     1.20     2.20
        36    100000      2140    92.98     1.20     2.20
        33    100000      2125    93.06     1.20     2.20
        26    100000      2130    93.14     1.20     2.20
        43    100000      2129    93.21     1.20     2.20
        28    100000      2131    93.29     1.20     2.20
        31    100000      2131    93.37     1.20     2.20
        30    100000      2129    93.45     1.20     2.20
